"Stock","WA","lh","SREP_median","SREP_mean","SREP_lwr5","SREP_upr95","SMSY_median","SMSY_mean","SMSY_lwr5","SMSY_upr95","SGEN_median","SGEN_mean","SGEN_lwr5","SGEN_upr95","SMAX_median","SMAX_mean","SMAX_lwr5","SMAX_upr95"
"Nimpkish",1512,1,21643,23887,10666,44516,8054,8855,4007,16302,1449,1624,656,3162,11863,13038,5904,24015
"Adam/Eve",254,1,3690,4216,1619,8467,1376,1565,612,3120,250,288,102,603,2026,2306,902,4631
"Salmon",912,1,13180,14516,6422,27025,4911,5388,2410,10049,882,992,390,1957,7204,7943,3510,14949
"Campbell",12,1,170,247,42,706,63,92,16,262,11,17,3,48,93,135,24,384
"Quinsam",67,1,973,1193,351,2737,362,443,132,1014,65,81,23,189,532,651,197,1494
