"Stock","WA","lh","SREP_median","SREP_mean","SREP_lwr5","SREP_upr95","SMSY_median","SMSY_mean","SMSY_lwr5","SMSY_upr95","SGEN_median","SGEN_mean","SGEN_lwr5","SGEN_upr95","SMAX_median","SMAX_mean","SMAX_lwr5","SMAX_upr95"
"Nimpkish",1512,1,21643,23887,10666,44516,8054,8855,4007,16302,1449,1624,656,3162,11863,13038,5904,24015
"Adam/Eve",300,1,4360,4951,1953,9775,1625,1837,737,3614,297,338,122,697,2395,2708,1090,5355
"Salmon",321,1,4661,5257,2132,10253,1735,1951,797,3784,311,359,131,737,2551,2876,1179,5593
"Campbell",12,1,170,247,42,706,63,92,16,262,11,17,3,48,93,135,24,384
"Quinsam",67,1,973,1193,351,2737,362,443,132,1014,65,81,23,189,532,651,197,1494
